Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-08-25 00:00:00-04:00,0.03547300907511778,0.036154782057952715,0.03547300907511778,0.03601842746138573,2508800,0.0,0.0
1972-08-28 00:00:00-04:00,0.03601842898822857,0.036291138192922845,0.035882074385881424,0.035882074385881424,972800,0.0,0.0
1972-08-29 00:00:00-04:00,0.03574568685998132,0.03574568685998132,0.03547297790646553,0.03547297790646553,1945600,0.0,0.0
1972-08-30 00:00:00-04:00,0.03547297790646553,0.03547297790646553,0.03519970686389779,0.03547297790646553,409600,0.0,0.0
1972-08-31 00:00:00-04:00,0.03519972709704611,0.03519972709704611,0.034927017986774445,0.034927017986774445,870400,0.0,0.0
1972-09-01 00:00:00-04:00,0.0350633955701271,0.03519975021481514,0.0350633955701271,0.03519975021481514,256000,0.0,0.0
1972-09-05 00:00:00-04:00,0.03519972709704611,0.03519972709704611,0.034927017986774445,0.034927017986774445,563200,0.0,0.0
1972-09-06 00:00:00-04:00,0.03519975021481514,0.03519975021481514,0.03519975021481514,0.03519975021481514,256000,0.0,0.0
1972-09-07 00:00:00-04:00,0.03519973683099224,0.03519973683099224,0.03506338223814964,0.03506338223814964,1177600,0.0,0.0
1972-09-08 00:00:00-04:00,0.0349270157323143,0.0349270157323143,0.03479066118597984,0.03479066118597984,665600,0.0,0.0
1972-09-11 00:00:00-04:00,0.03506338223814964,0.03506338223814964,0.03506338223814964,0.03506338223814964,921600,0.0,0.0
1972-09-12 00:00:00-04:00,0.03506338223814964,0.03506338223814964,0.03506338223814964,0.03506338223814964,614400,0.0,0.0
1972-09-13 00:00:00-04:00,0.03506338223814964,0.03506338223814964,0.03506338223814964,0.03506338223814964,153600,0.0,0.0
1972-09-14 00:00:00-04:00,0.03506338661997355,0.035336095839738846,0.0349270320100909,0.035336095839738846,1280000,0.0,0.0
1972-09-15 00:00:00-04:00,0.03519973683099224,0.03519973683099224,0.03506338223814964,0.03506338223814964,512000,0.0,0.0
1972-09-18 00:00:00-04:00,0.03519975021481514,0.03533610485950318,0.03519975021481514,0.03519975021481514,1075200,0.0,0.0
1972-09-19 00:00:00-04:00,0.035063372541910276,0.035063372541910276,0.03479066343163861,0.034927017986774445,3123200,0.0,0.0
1972-09-20 00:00:00-04:00,0.03465431183576584,0.03465431183576584,0.03465431183576584,0.03465431183576584,51200,0.0,0.0
1972-09-21 00:00:00-04:00,0.034381033711700856,0.034381033711700856,0.033562902361154556,0.033562902361154556,1433600,0.0,0.0
1972-09-22 00:00:00-04:00,0.033425990623319544,0.033425990623319544,0.0323345921933651,0.0323345921933651,870400,0.0,0.0
1972-09-25 00:00:00-04:00,0.03219825157000423,0.03219825157000423,0.03137956187129021,0.03137956187129021,972800,0.0,0.0
1972-09-26 00:00:00-04:00,0.03137956736564404,0.03137956736564404,0.03110685603303164,0.031243210658431053,716800,0.0,0.0
1972-09-27 00:00:00-04:00,0.03097048494443939,0.03097048494443939,0.03056141920387745,0.03056141920387745,665600,0.0,0.0
1972-09-28 00:00:00-04:00,0.03110685058642775,0.03165283108209252,0.03110685058642775,0.03137956187129021,1433600,0.0,0.0
1972-09-29 00:00:00-04:00,0.031652829023979534,0.031789183616638184,0.031652829023979534,0.031789183616638184,256000,0.0,0.0
1972-10-02 00:00:00-04:00,0.03206189307668126,0.033289648592472076,0.03206189307668126,0.033289648592472076,1638400,0.0,0.0
1972-10-03 00:00:00-04:00,0.03356289740828758,0.03383560851216316,0.03356289740828758,0.03383560851216316,512000,0.0,0.0
1972-10-04 00:00:00-04:00,0.0339719914281158,0.03479068126802949,0.0339719914281158,0.03451796993613243,1536000,0.0,0.0
1972-10-05 00:00:00-04:00,0.03431285436431188,0.03431285436431188,0.033562902361154556,0.033562902361154556,1382400,0.0,0.0
1972-10-06 00:00:00-04:00,0.0334260385544101,0.0334260385544101,0.032198283821344376,0.032198283821344376,9779200,0.0,0.0
1972-10-09 00:00:00-04:00,0.03247094855601723,0.03274421766400337,0.03247094855601723,0.03274421766400337,1280000,0.0,0.0
1972-10-10 00:00:00-04:00,0.03274421766400337,0.03274421766400337,0.03274421766400337,0.03274421766400337,0,0.0,0.0
1972-10-11 00:00:00-04:00,0.032744223615084694,0.03288057819008827,0.03247095445743339,0.03288057819008827,460800,0.0,0.0
1972-10-12 00:00:00-04:00,0.03274423036749214,0.03274423036749214,0.032607875764369965,0.032607875764369965,358400,0.0,0.0
1972-10-13 00:00:00-04:00,0.032607875764369965,0.032607875764369965,0.032607875764369965,0.032607875764369965,51200,0.0,0.0
1972-10-16 00:00:00-04:00,0.032470958661744515,0.032470958661744515,0.031789183616638184,0.031789183616638184,665600,0.0,0.0
1972-10-17 00:00:00-04:00,0.031789171941237204,0.032470946735943994,0.031515902848568436,0.0323345921933651,2457600,0.0,0.0
1972-10-18 00:00:00-04:00,0.03260786903228739,0.03492702306752062,0.03260786903228739,0.03465431183576584,7782400,0.0,0.0
1972-10-19 00:00:00-04:00,0.03465430455783303,0.0349270157323143,0.03465430455783303,0.03479066118597984,10598400,0.0,0.0
1972-10-20 00:00:00-04:00,0.03451796993613243,0.03451796993613243,0.03451796993613243,0.03451796993613243,51200,0.0,0.0
1972-10-23 00:00:00-04:00,0.03451794818012607,0.03451794818012607,0.03438103571534157,0.03438103571534157,460800,0.0,0.0
1972-10-24 00:00:00-04:00,0.03451796993613243,0.03451796993613243,0.03451796993613243,0.03451796993613243,102400,0.0,0.0
1972-10-25 00:00:00-04:00,0.03424467204525879,0.03424467204525879,0.03383560851216316,0.03383560851216316,1228800,0.0,0.0
1972-10-26 00:00:00-04:00,0.03410834074020386,0.03410834074020386,0.03410834074020386,0.03410834074020386,51200,0.0,0.0
1972-10-27 00:00:00-04:00,0.03424469009041786,0.03424469009041786,0.03424469009041786,0.03424469009041786,204800,0.0,0.0
1972-10-30 00:00:00-05:00,0.03424469534400606,0.0343810520296215,0.033971986136401656,0.03410834074020386,1331200,0.0,0.0
1972-10-31 00:00:00-05:00,0.03424470561225469,0.03519975021481514,0.03424470561225469,0.03519975021481514,716800,0.0,0.0
1972-11-01 00:00:00-05:00,0.035609373270111114,0.036837127059698105,0.035609373270111114,0.036837127059698105,2252800,0.0,0.0
1972-11-02 00:00:00-05:00,0.0371098555624485,0.03751948176444118,0.0371098555624485,0.0371098555624485,716800,0.0,0.0
